article_id,article_type_id,Experimental/observational,Study type,Harmonized_study type,Location,Region,Longhurst province,Habitat type_harmonized,Seasonality_harmonized,Trawling gear type_harmonized,Latitude_study_site,Longitude_study_site,Water depth (m),Sample core depth slice,Response variable,Mean_After_control,Term_var_After_control,Value_var_After_control,SD_After_control,n_After_control,Mean_Before_control,Term_var_Before_control,Value_var_Before_control,SD_Before_control,n_Before_control,Mean_Before_impact,Term_var_Before_impact,Value_var_Before_impact,SD_Before_impact,n_Before_impact,Mean_After_impact,Term_var_After_impact,Value_var_After_impact,SD_After_impact,n_After_impact,Time since trawl (days),Trawling effort_numerical_harmonized,Trawling effort_units_harmonized,Trawling_effort_GFW,Time since first disturbance (years),Historically fished,Model_Chl_bottom (mg/m3),Model_Current_velocity (m/s),Model_Dissolved_Oxygen (mol/m3), Model_NO3_bottom (mol/m3),Model_PO4_bottom (mol/m3),Model_Sal_bottom,Model_Silicate_bottom (mol/m3),Model_Temp_bottom,Model_NPP_surface (g/m3/day),dist_shore (m)
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate spring,Otter Trawl,41.86744429,3.373933729,491,0-1,TC,3.907124626,SD,,0,1,,,,,,,,,,,4.618571883,SD,,0,1,0,54,y-1,666.427979,,1,0.01265265,0.0366984,196.210372,7.22460815,0.37690477,38.4768004,7.0964978,13.1315274,0.00284818,21222.5
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate spring,Otter Trawl,41.86744429,3.373933729,491,0-1,Mud content (< 63 µm),94.04,SD,,0,1,,,,,,,,,,,86.76,SD,,0,1,0,54,y-1,666.427979,,1,0.01265265,0.0366984,196.210372,7.22460815,0.37690477,38.4768004,7.0964978,13.1315274,0.00284818,21222.5
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate spring,Otter Trawl,41.86744429,3.373933729,491,0-1,Sand,5.96,SD,,0,1,,,,,,,,,,,13.24,SD,,0,1,0,54,y-1,666.427979,,1,0.01265265,0.0366984,196.210372,7.22460815,0.37690477,38.4768004,7.0964978,13.1315274,0.00284818,21222.5
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate spring,Otter Trawl,41.86744429,3.373933729,491,0-1,Silt ,71.48,SD,,0,1,,,,,,,,,,,65.05,SD,,0,1,0,54,y-1,666.427979,,1,0.01265265,0.0366984,196.210372,7.22460815,0.37690477,38.4768004,7.0964978,13.1315274,0.00284818,21222.5
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate spring,Otter Trawl,41.86744429,3.373933729,491,0-1,Clay ,22.56,SD,,0,1,,,,,,,,,,,21.71,SD,,0,1,0,54,y-1,666.427979,,1,0.01265265,0.0366984,196.210372,7.22460815,0.37690477,38.4768004,7.0964978,13.1315274,0.00284818,21222.5
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate spring,Otter Trawl,41.86744429,3.373933729,491,0-1,TN,0.101028221,SD,,0,1,,,,,,,,,,,0.073181022,SD,,0,1,0,54,y-1,666.427979,,1,0.01265265,0.0366984,196.210372,7.22460815,0.37690477,38.4768004,7.0964978,13.1315274,0.00284818,21222.5
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate spring,Otter Trawl,41.86744429,3.373933729,491,0-1,TOC/TN,9.062240088,SD,,0,1,,,,,,,,,,,8.822033384,SD,,0,1,0,54,y-1,666.427979,,1,0.01265265,0.0366984,196.210372,7.22460815,0.37690477,38.4768004,7.0964978,13.1315274,0.00284818,21222.5
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical wet season,Otter Trawl,-27.12081778,153.1198469,4,Full core,NHx flux,,,,,,,,,,,4.744525547,SE,1.751824818,4.291076922,6,41.24087591,SE,5.547445255,13.58841025,6,0.125,,,0,0.000342466,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical wet season,Otter Trawl,-27.12081778,153.1198469,4,Full core,Nitrate flux,,,,,,,,,,,5.525606469,SE,0.791597832,1.93901077,6,39.21832884,SE,4.330058256,10.60643328,6,0.125,,,0,0.000342466,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical wet season,Otter Trawl,-27.12081778,153.1198469,4,Full core,oxygen consumption,,,,,,,,,,,-1373.099415,SE,53.21637427,130.3529629,6,-1394.736842,SE,49.12280702,120.3258119,6,0.125,,,0,0.000342466,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical wet season,Otter Trawl,-27.12081778,153.1198469,4,0-5,TOC,,,,,,,,,,,0.848297214,SE,0.040247678,0.098586274,6,0.941176471,SE,0.027863777,0.068252036,6,0.125,,,0,0.000342466,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical wet season,Otter Trawl,-27.12081778,153.1198469,4,0-5,Phaeopigments,,,,,,,,,,,3.235294118,SE,0.056022409,0.137226316,6,2.507002801,SE,0.280112045,0.686131581,6,0.125,,,0,0.000342466,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,Full core,NHx flux,,,,,,,,,,,4.744525547,SE,1.751824818,4.291076922,6,12.62773723,SE,2.919708029,7.151794869,6,0.125,,,0,0.25,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,Full core,Nitrate flux,,,,,,,,,,,5.525606469,SE,0.791597832,1.93901077,6,13.61185984,SE,1.173086398,2.8734631,6,0.125,,,0,0.25,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,Full core,oxygen consumption,,,,,,,,,,,-694.7368421,SE,53.21637427,130.3529629,6,-574.8538012,SE,36.84210526,90.24435894,6,0.125,,,0,0.25,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,0-5,TOC,,,,,,,,,,,0.848297214,SE,0.040247678,0.098586274,6,0.950464396,SE,0.049535604,0.121336953,6,0.125,,,0,0.25,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,0-5,Phaeopigments,,,,,,,,,,,3.235294118,SE,0.056022409,0.137226316,6,2.955182073,SE,0.308123249,0.754744739,6,0.125,,,0,0.25,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,Full core,NHx flux,,,,,,,,,,,4.744525547,SE,1.751824818,4.291076922,6,2.99270073,SE,1.167883212,2.860717948,6,0.125,,,0,0.5,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,Full core,Nitrate flux,,,,,,,,,,,5.525606469,SE,0.791597832,1.93901077,6,3.908355795,SE,1.064762484,2.608124784,6,0.125,,,0,0.5,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,Full core,oxygen consumption,,,,,,,,,,,-394.7368421,SE,53.21637427,130.3529629,6,-558.4795322,SE,24.56140351,60.16290596,6,0.125,,,0,0.5,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,0-5,TOC,,,,,,,,,,,0.848297214,SE,0.040247678,0.098586274,6,0.801857585,SE,0.018575851,0.045501357,6,0.125,,,0,0.5,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
8,8,Experimental,Before After,Experimental,"Moreton Bay, Australia",E Australia,East Australian Coastal Province,Shallow mud,Tropical dry season,Otter Trawl,-27.12081778,153.1198469,4,0-5,Phaeopigments,,,,,,,,,,,3.235294118,SE,0.056022409,0.137226316,6,3.487394958,SE,0.154061625,0.377372369,6,0.125,,,0,0.5,0,0.28915026,0.0857608,214.247694,0.04869857,0.27975248,35.4398056,2.13801148,23.8037002,0.01342915,8231.15039
